query_id,0
400,"[1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 0 0 0 1 0 0 1 0 0 2 0 0 0
 0 0 1 0 0 1 0 0 0 0 0 2 0 0 0 2 0 2 1 0 0 1 2 0 1 1 1 1 2 0 0 0 1 1 1 0 1
 1 0 0 0 1 0 0 0 0 1 0 0 0 0 2 0 0 2 0 1 0 0 0 0 0 2 0 0 0 1 0 0 2 1 1 1 1
 0 0 0 0 0 0 0 0 0 2 0 0 1 2 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 2 0 0 1 0 0 2
 1 0 0 0 0]"
415,"[0 0 0 2 2 2 1 1 2 2 2 0 0 2 0 2 0 2 2 2 2 2 2 2 0 1 0 2 2 2 1 0 0 2 2 2 2
 2 1 2 1 2 2 2 2 2 2 0 2 2 0 2 0 2 2 2 2 1 2 0 2 2 0 1 2 2 0 2 0 0 2 2 2 2
 0 2 0 0 2 2 2 2 0 2 0 0 2 0 2 2 2 2 0 0 0 2 2 1 2 2 2 2 0 0 0 2 2 2 2 2 1
 2 2 0 2 2 0 2 0 0 2 2 2 1 2 0 0]"
505,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0
 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
 0 0 0 0 2 0 0 0]"
595,"[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0 0 0 0
 0 0 1 0 0 0 0 0 0 0 2 0 1 0 1 0 0 0 1 2 1 1 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0
 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0]"
640,"[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 1 0 0 1 0 0 0 1 1 1 0 1 1 0
 0 1 0 0 2 0 0 0 0 0 1 0 2 2 0 1 1 1 0 1 2 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0
 0 0 0 1 2 0 1 0 1 1 0 0 0 1 0 1 1 0 0 0 0 1 0 0 1 1 1 0 1 1 0 2 1 1 2 0 0
 1 0 0 1 1 2 2 1 1 0 0 2 1 2 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 1 1 1
 1 0 0]"
655,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 2 0 0 2
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
685,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0]
700,"[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0]"
715,"[0 0 1 0 2 0 1 0 0 0 0 2 0 1 0 0 2 0 1 1 1 1 1 0 1 0 1 0 1 0 0 1 1 0 0 0 0
 0 0 0 0 2 1 1 2 0 0 0 0 0 0 0 2 1 0 0 1 1 0 0 2 0 0 0 0 1 0 1 0 0 1]"
745,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0]"
775,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
790,"[0 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 2 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0
 0 0 0 0 1 1 0 1 2 0 0 0 0 0 0 2 0 1 0 0 2 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
 0 0 0 0 1 0 0 0 0 0 0]"
880,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0]"
1030,"[1 0 1 1 1 0 0 0 1 1 0 0 0 0 0 1 0 2 0 0 0 0 1 0 0 1 0 2 1 0 0 1 0 1 1 0 2
 0 1 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 1 2 0 1 0 1 0 0 0 1 2
 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 2 0 1 0 1 0 0 0 1 2 2
 0 0 1 2 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 2 1 0 1 0]"
1045,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1075,"[0 0 0 0 0 0 0 0 0 0 2 0 1 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
 1 1 1 1 2 0 1 1 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 0 2 0 0 2 0 0 2 0 0 0 1 1 0
 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 0 0
 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0]"
1090,"[0 0 0 0 0 0 0 0 0 0 2 4 0 1 0 0 2 0 2 0 1 0 0 2 0 1 0 0 0 0 0 1 0 1 0 1 1
 0 1 0 2 0 0 1 1 0 0 1 2 2 1 0 0 1 0 1 0 0 0 1 2 1 0 0 0 0 0 2 0 0 0 0 2 0
 2 0 0 1 1 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 1 0 2 0 0 1 0]"
1135,"[0 1 0 0 0 0 0 0 1 1 0 0 0 2 1 2 2 1 1 1 0 0 0 1 1 1 0 1 0 0 0 2 1 0 0 1 0
 1 0 1 0 2 1 0 1 0 0 1 1 0 0 1 1 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 1 0 0 1 0 0
 1 0 1 0 1 2 1 2 1 1 0 1 2 0 1 2 2 1 1 0 0 0 1 2 1 0 0 0 1 1 2 0 1 0 1 1 0
 1 1 0 0 1 1 0 0 2 0 2 0 0 0 0 2 1 1 2 1 0 2 1 1 1 1 2 1 1 1 0 0 2 0 1 0 0
 0 0]"
1150,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]"
1180,"[0 1 0 0 2 1 1 0 1 1 0 1 2 1 1 2 0 1 0 1 0 0 3 0 1 0 1 0 0 1 0 2 0 0 1 1 1
 1 0 0 1 0 1 0 1 0 0 1 0 1 0 0 0 1 0 0 0 0 0 2 0 1 1 1 0 1 0 1 1 1 1 1 1 0
 0 0 0 1 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 0 0 0 0 0 1 0 0 0 2 1 0 1 1 1
 1 1 1 0 1 1 1 1 0 1 1 1 0 1 0 1 0 0 0 0 1 2 0 1 1 1 0 1 0 1 1 1 1 1 1 0 1
 1 0 1 0 1 1 2 1 1 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 1 0 1 0 1 1 1 1 0 1 0 0 1
 1 0 0]"
1210,"[0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0
 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0]"
1255,"[0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 0 0 0 4 1 2 1 1 1 1 0 4 1 1 0
 0 1 4 1 0 0 1 0 1 1 0 0 2 1 2 1 0 0 0 1 1 1 1 4 1 1 0 4 0 0 1 2 1 1 0 1 1
 1 0 0 0 1 1 2 0 2 0 0 0 1 1 0 1 1 1 1 0 0 0 1 0]"
1360,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 2 0 0 0]"
1375,"[2 0 0 2 2 0 0 1 2 1 1 2 1 0 0 1 2 1 0 2 0 2 1 3 0 2 2 0 2 2 1 2 2 1 2 2 0
 2 1 0 0 2 0 1 0 1 0 2 2 0 1 2 1 1 2 1 2 2 0 0 2 0 2 1 1 1 2 1 1 1 1 1 1 1
 1 2 2 2 1 2 2 1 1 0 2 1 1 0 2 1 2 0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 1 2 1 0 2
 1 2 0 0 1 1 0 2 1 2 2 2 0 1 0 2 0 2 1 2 0 1 1 1 1 1]"
1420,"[1 1 0 0 1 2 0 2 0 1 1 0 2 1 0 2 0 0 1 0 1 1 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0
 0 0 2 0 0 0 0 0 1 2 0 0 0 0 0 0 1 0 0 0 1 2 1 0 0 1 0 0 0 1 1 0 0 0 0 0 0
 0 1 1 0 0 1 0 0 1 1 0 1 0 0 0 1 2 1 1 2 0 0 0 2 0 0 0 1 0 0 0 0 1 2 1 0 2
 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0 1 2 0 0]"
1435,"[0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 2]"
1450,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0]"
1465,"[0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 0 0 2 2 0 1 1 0 1 0 1 1 0 0 0 2 0 1 0 1 1
 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 2 1 1 0 0 1 0 1 0 0 1 0
 0 0 0 0 0 0 0 1 2 1 0 0 1 0 2 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 1 0 0 0]"
1480,"[0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 0
 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 2 0 0 0 2 0 0 0]"
1495,"[0 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0
 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 2 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0
 1]"
1510,"[0 1 0 0 0 0 2 1 0 1 0 0 1 0 0 0 1 1 2 0 0 0 0 0 2 0 0 0 1 1 0 0 1 1 2 0 0
 0 1 0 0 0 1 0 1 1 0 0 1 1 0 1 0 0 0 1 0 1 0 1 1 1 1 0 0 0 1 0 0 1 2 1 1 0
 0 0 1 1 0 0 1 1 1 1 1 1 1 2 0 0 0 0 1 1 1 1 1 1 2 1 1 1 1 1 0 0 1 0 1 1 0
 0 0 1 2 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 0 1 1 0 1 0 2 1 0 0 0 0 2]"
1645,"[1 1 0 1 1 0 2 1 1 0 1 0 1 1 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 1 2 2 2 0 1 1 1
 1 2 2 1 0 2 0 2 1 1 0 0 1 0 0 0 4 1 0 0 0 4 0 1 2 1 0 0 0 1 0 0 0 1 2 1 0
 1 0 1 1 2 1 0 1 1 1 0 0 0 0 2 1 0 1 2 0 0 1 1 0 1 0 0 1 0 0 0 1 1 1 0 0 0
 0 1 1 0 2 0 0 0 1 0 1 0 2 0 1 0 0 2 2 0 0]"
1675,"[0 0 0 1 1 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0
 1 0 1 0 0 0 1 1 0 0 1 0 1 1 0 1 1 0 0]"
1690,[0 0 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
1720,"[0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0]"
1750,"[0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0
 0 0 0 0 1 1 0 0 1 0 1 0 1 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 0 2 0 0 0 0
 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 1 1 0 2 1 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0 0
 1 0 0 1 0 1 0 0 1 1 0 1 0 1 0 0 0 0 1 0 0 0 0 2 0 1 0 0 0 1 1 0 1 2 0 0 0
 1 1 0 1 0 1 0 1 0 0 2 0 0 1]"
1780,"[1 1 2 1 1 1 1 0 1 2 0 0 0 0 2 0 0 0 2 2 0 0 0 2 2 0 1 0 0 0 2 2 0 1 2 1 0
 1 0 1 0 0 1 2 1 1 0 2 0 2 1 2 0 2 2 2 1 2 0 1 0 2 1 2 2 0 0 1 1 0 0 0 0 2
 0 0 1 1 2 0 2 2 2 2 0 1 2 0 2 2 2 1 1 0 1 2 0 0 1 0 1 2 2 0 2 2 0 2]"
1795,"[1 0 0 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 2 0 2 1 0 0 1 0 1 2 1 1 0 0 0 1 2 1 1
 1 0 0 1 2 0 1 1 0 0 0 1 1 1 0 1 0 1 1 2 1 1 1 1 1 1 0 0 1 0 0 0 1 1 1 1 2
 1 1 1 0 0 1 0 1 0 0 0 0 1 1 1 1 0 2 0 0 0 0 1 0 0 1 0 0 0 1 0 1 0 1 1 0 1
 1 1 0 0 0 0 2 1 1 0]"
1885,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0
 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
 0 0 0]"
1930,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
1975,"[1 1 0 1 1 2 1 0 0 1 0 0 1 1 0 1 1 1 1 0 0 1 1 1 1 1 2 1 0 1 1 1 2 0 1 1 1
 1 1 1 1 1 1 0 0 1 1 0 1 0 1 0 1 1 1 0 0 0 0 0 0 1 2 1 1 1 0 0 0 0 0 1 1 1
 1 2 2 1 2 1 0 1 0 2 2 1 1 2 0 1 1 1 0 1 1 1 1 1 1 1 0 0 0 1 1 0 0 2 0 1 1
 0 1 0 2 2 1 0 1 0 0 1 1 2 1 0 0 0 1 0 0 1 0 0 0 1 0 2 1 0 1 0 1 1 0 0 1 2
 0 2 0 1 0 0 1 0 2 1 2 0 1 1 1 0]"
2005,"[1 0 0 1 1 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 2 0 1 1 0 0 0 1
 0 0 0 0 0 0 0 1 1 1 1 0 0 0 1 1 1 1 1 0 0 1 1 0 0 0 0 0 1 1 1 0 0 2 0 1 2
 0 1 1 1 0 1 1 0 0 0 0 0 0 1 0 1 0 0 1 1 0 0 0 0 0 0 1 2 0 0 1 0 1 0 0 0 1
 1 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0 0 1 1 0 1 1]"
2050,"[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0]"
2110,"[0 0 0 0 0 1 1 1 0 0 1 2 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 1 0 1 2 0 0 0 0
 0 0 1 0 0 0 0 0 2 0 1 1 0 0 0 0 1 1 0 0 1 1 0 0 0 1 0 1 1 0 1 0 2 0 0 0 1
 0 0 0]"
2155,"[0 0 0 0 0 0 1 0 0 1 0 2 0 0 0 0 0 1 2 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
 2 2 0 0 0 0 0 0 0 0 2 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 2 1
 0 0 0 0 0 0 0 0 0 0 0 1 1 1 2 1 0 1 0 1 0 0 0 0 0 0 0 2 1 0 0 0 1 0 0 0 1
 1 1 1 0 1 0 1 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1]"
2170,"[1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 2 0 2 1 0 1 1 1 1 0 1 1 2 0 0 1 1 1 1 1 1
 0 2 1 1 0 0 1 0 1 1 0 1 1 2 0 0 0 1 2 0 1 0 0 2 1 1 0 2 1 1 0 2 0 1 0 0 0
 1 0 0 1 1 2 2 0 0 0 1 0 1 0 1 1 2 1 0 0 0 0 0 0 2 2 0 1 0 0 0 0 0 1 1]"
2200,"[1 0 0 0 1 0 1 0 0 1 0 0 0 2 0 0 1 1 1 2 0 2 2 1 2 0 2 0 0 2 2 1 0 1 1 0 0
 1 0 0 0 2 1 0 0 1 1 2 1 2 1 1 2 0 1 0 1 2 0 1 1 0 0 0 0 2 1 0 2 0 2 1 0 2
 2 0 0 0 0 0 0 1 0 0 0 0 1 1 1 2 1 2 0 2 1 0 1 1 0 0 1 0 0 1 2 0 2 0 1 1 1
 1 1 1 1 0 2 1 1 0 1 1 0 1 1 1 1 1 0 1 0 0 0 2 1 2 1 3 0 1 2 0]"
2230,"[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0
 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0]"
2275,"[1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
 0 0 0 0 0 0 0]"
